,Challange Name ,Challange Summary ,Breif Potential Considerations,Outcomes Topics
0,A Marketplace for Open Science Projects,"1-Problem:There are many open source projects and tools,and there is no place online for project creators and skilled participants to find each other, mingle, and foster professional relationships to work on interesting open research projects. 2- The Required solution: creating a tool that will enable open science project creators and skilled potential contributors to identify one another and communicate as Project creators will need to explain their projects and level of expertise their need and partcipants would list ther skills and projects they are seeking.","- The tool partcipants develop will run in a web browser, requiring the web page and associated code to be hosted on a server.2-Not everyone will want to create an online account to use your tool, so login credentials could be handled through third partie",Web App & Data Science 
1,Artemis II and You!,"1- Problem: challnge is mainly based on backing to the moon for scientific discovery, economic benefits, and to inspire a new generation of explorers and for acheieving that impacting coummunity is neccessary. 2-The RequiredSolution: Mission would be accomplished through creating a brief scientific , educational and factual video (three minutes or less) that communicates how the development of the Artemis II mission is impacting you and your community. ","1-  video accessible to everyone.2-present information about Artemis II in a new way "" Creatvity"".3-There may be multiple impacts that affect you and/or your community. Consider focusing on one or two that are the most important to you.",Video Editing & Resreach
2,Be a Space Geologist,"1-Problem: Geologists spend much time in studying minerasl ,rocks or earth process, teir period in discovring may take months in the field! , although NASA’s Earth data archives provide satellite and airborne observations that can be used to study all aspects of the Earth system—from locating rare minerals, to observing dust in deserts, or even studying tectonic movement along the San Andreas Fault. 2-The Required Solution: design an app that enables geologists to use NASA’s Earth observation data to conduct research,app could use NASA Earth observation data to provide information about Earth materials such as rocks and minerals, Earth processes such as plate tectonics and erosion, or landscape features such as mountains, rivers, and volcanoes.","1- Geologists could use the app to advance geological research or to predict and/or respond to disasters. Feel free to go “boulder,” as long as your solution features Earth’s geology! 2- Note: Check challnge link, there are many usful resources might benfit you there!",Web/Mobile App & Data Science
3,Building the Space Biology “Model Zoo”,"1-Problem:Unleashing the power of Meachine Learining to boost the Space Biology Researches for more biology and biomedical space exploration.The Required solution: designing a comprehensive database of publicly available biomedical datasets that could be used to pretrain different models for a “model zoo,” and (2) determining relevant publicly available space biology datasets that could then be used to refine the models to investigate specific space biology questions.","1-A model in a space biology “model zoo” uses an existing dataset of thousands of different RNA sequencing biomedical studies. Such a model could be leveraged for any combination of space biology RNA sequencing datasets in the NASA Open Science Data Repository (OSDR) (see Resources tab). However, OSDR has many different data types and it would be useful for the public, multi modal datasets and biological questions.
2- Additionally, it might be interesting to use different transfer learning model architectures to create the model zoo, and note the resulting effects.",Biomedical / Database Design / Data Science / ArtificiaI Intelligence/Machine Learning Model
4,Create a Work of SARt (Synthetic Aperture Radar Art)  ,"1- Problem: SAR (synthetic aperture radar) is a powerful tool for studying our planet and the upcoming NISAR (NASA-ISRO SAR) mission—a joint endeavor between NASA and the Indian Space Research Organisation (ISRO)—will collect data around the world and provide consistent SAR imagery of these Earth processes.The NISAR mission will provide a multitude of new products! A common misconception with radar remote sensing is that the imagery is difficult for people to interpret. 2- The Required solution: developing a publicly accessible work of SARt that portrays the radar imagery in a new, creative way and any digital medium of art is acceptable as a submission: imagery, video, 3D model, music, (a picture of) a diorama, etc , all of those digital mudium should include text description.","1-T he submissions will be judged by NASA experts based on creativity, innovation, and clarity.2-All NASA SAR data are publicly available, but you will need to register for an Earthdata Login Profile (see Resources) for access.3-Beginner SAR users may start with the Uninhabited Aerial Vehicle Synthetic Aperture Radar (UAVSAR) postcards, while more advanced users can explore the UAVSAR and NASA Earthdata search (see Resources).","image/ video/ 3D Model
"
5,Develop the Oracle of DSCOVR,"1-The problem: Predict Geomagnetic storms that can severely impact important systems like GPS and electrical power grids on Earth by DSCOVR Satellite.
2-The Required solution: Develop your own geomagnetic activity forecast using the data from DSCOVR ( May be correct and has some faults ) to predict geomagnetic storms on Earth","1-Level 1 data: The Quantaties that measured by DSCOVR. 
2-Level 2 data: When DSCOVR measures wrong values and then switches to a backup weather station rather than attempting to recalibrate or mitigate the error to produce the level 2 data accurately. ","Machine Learning Regression / Adaptive Neural Network (ANN)
Satellite & Solar wind"
6,Eclipses: Perspective is Everything,"1-The problem:  people can experience eclipses when Earth, the Moon, and the Sun align. 
2-The Required solution: Your challenge is to create a game, activity, or story for young learners that explains the mechanics of eclipses, including eclipse seasons, how and why eclipses occur, and why only some people on Earth can see an eclipse at a given time.","-Understanding Earth-Sun-Moon alignment is crucial for lunar and solar eclipse differences. 
-Perspective, object distances, affects eclipse types: partial or total. 
-Earth's axis and Moon's orbit tilt change shadow placement.",Game dev / Video / Art
7,EMIT for the Future!,"1-The problem: EMIT has the potential to revolutionize this field of remote sensing, but if you haven't heard about this sensor, you're not alone! It's a new sensor in a field of science that is rapidly developing.
2-The Required solution: Your challenge is to develop an app that can help raise community awareness of what EMIT is, how it can be used, and what has already been accomplished with its data.",#NAME?,Web/Mobile App / Video
8,Everything Starts with Water,"1-The problem: Earth has 370 quintillion gallons of water – but only 0.01% of that is freshwater that we can use. As climate change alters the global water cycle, this precious resource is in danger of becoming even more scarce. 
2-The Required solution: Your challenge is to create a visual tool to help students better understand the complete path of water across the entire Earth system and how the availability of this critical resource is affected by our changing climate.","-Your target audience can include elementary, middle, or high school students—or students at multiple levels!
-Storytelling via data visualizations.
-Depict climate change impact.
-Explore human impacts on freshwater and climate.",App/ Infographic / Game / Video
9,Explore a Biodiversity Hotspot with Imaging Spectroscopy,"1-The problem: New imaging spectrometer data from NASA is dramatically improving our ability to measure and monitor biodiversity from space
2-The Required solution: Your challenge is to use publicly available imaging spectroscopy data to characterize and map a biodiversity hotspot in South Africa","-The BioSCape domain has a rectangular latitude/longitude bounding box (WGS84) of:
xmin=16.2, ymin=-35.56, xmax=27.76, ymax= -27.72.

Tips for EMIT data:
-EMIT Imaging Spectroscopy data (2022 launch) needs pre-processing.
-NASA's EMIT Data Tutorial Series","Data Visualization/ Web App / Art / data analysis
"
10,GeoAI Reimagined: Transformative and Diverse Earth Science Applications Using Foundation Models,"1-The problem: Researchers face challenges in developing accurate and efficient artificial intelligence (AI) models for geospatial analytics tasks, especially when the availability of labeled data (i.e., data that has been annotated or tagged with specific information) is limited.
2-The Required Solution: Your challenge is to leverage existing geospatial foundation models to develop fine-tuned models that can support disaster recovery operations or real-time environmental monitoring, with the aim of improving the effectiveness and efficiencies of these critical","Consider beyond higher accuracy:

-Metrics: Reduce labeled data, save time, and resources.
-Data: Use existing datasets, prioritize efficiency.
-Fine-Tuning: Use available tools, optimize within constraints.
-Tooling: Utilize cloud resources, design scalable models.
-Ethics: Mind societal/environmental impacts, mitigate bias.
-Security: Comply with laws, protect sensitive data, respect privacy.",ArtificiaI Intelligence/Machine Learning
11,Habitable Exoplanets: Creating Worlds Beyond Our Own,"1-The problem: Are we alone in the universe?
2-The Required solution: Using publicly available information on habitable worlds to design your own habitable world and write about what life might be like on it",#NAME?,"Arts & Space Exploration
Storytelling"
12,Immersed in the Sounds of Space,1- The Problem : techniques can be used to enhance 2D astronomical images to make video representations called “fly-throughs” that allow viewers to experience what it would look like to move among space objects in 3D (three simulated spatial dimensions)-  2- The Requird Solution : developing a computer program for the public that analyzes the IMF vector components measured by spacecraft to assess how often magnetic reconnection occurs,"The spirit of this challenge is about innovatively communicating three-dimensional information -  develop a hybrid visual/sonified product, as long as the audio portion conveys enough of the data content  - A strong solution would include at least one example of an original sonification - An interesting add-on could be a visualization of the sonified data itself! For example, if you convert an image to a sound wave, the visualization ",3d desgin / product design / Artificial Intelligence  / web
13,International Space Station Earth-Observing Data VISION-aries wanted!,"1-Problem: only one of three Earth-observing platforms on the International Space Station platforms has a streamlined data monitoring and access pipeline and this limitation hampers the scientific community’s ability to integrate datasets and produce boundary shattering, innovative, interdisciplinary science. 2- Requirments of Solution: expanding the functionality of the open-source web-based tool—VSWIR (Visible to ShortWave InfraRed) Imaging Spectroscopy Interface for Open Science (VISIONS)— to include more remote sensing platforms and/or enhanced features.","1-VISIONS has well-written, readable code and a maintainable architecture. 2-Creating project by adding data or an analysis feature to VISIONS.3-Submitting project, should include the source code
4-If the service itself replies but the app is not producing the expected data, check the VISIONS service documentation or consider substituting deprecated services with currently functional data sources. The Resources section contains lists of example data sources and application programming interfaces (APIs). 3- Publishing a live version of your project is optional, but desirable.(AWS)
If you're really confident in your work,
","Data Science/ Data Visualization /Web 
"
14,Magnetic Reconnection ,"The problem : If magnetic reconnection occurs between the interplanetary magnetic field (IMF) and Earth’s magnetic field, solar-wind plasma particles are permitted to enter the region of space near Earth (the geospace). When MR occurs, the plasma transport processes inside the geospace are altered, which can lead to space weather events that can damage the satellites we use for communications and navigation or even disrupt power grids that provide our electricity here on Earth..  Taking into consideration A crucial condition for magnetic reconnection is simultaneous occurrence of opposite polarities of the Z components of the IMF and the Z component of Earth’s magnetic field.. 2- The Required Solution : developing a computer program for the public that performs statistical and/or spectral analysis of the vector components of the IMF measured by the ACE, WIND, and DSCOVR missions to assess how often magnetic reconnection occurs. and analysing will provide vital information regarding how frequently solar wind particles and energy gain access into the geospace environment and potentially cause space weather effects.",explaination of  the results of analysing when read a large set of interplanetary magnetic field data from NASA databases and developing a computer program to analyze this data ,Data science & Artificial Intelligence
15, Make a Moonquake Map 2.0!,"1-problem:When they explored the Moon, NASA’s Apollo astronauts left behind several instruments to collect geophysical data near each Apollo landing site .2-The Required Solution: developing an app for the public that plots the seismic events detected by the EASEP and ALSEP instruments on an interactive 3-D digital moon globe","1-The app you develop will run in a web browser, so the web page and associated code will be hosted on a server. 2-  Locate free code libraries for developing web apps that can present interactive 3-D models   3-selecting a code library, create a web app that presents a sphere 4-Studio Computer Generated Imagery (CGI) Moon Kit, which provides images of the Moon in various sizes 5- Use the links to the Apollo Seismic Event Catalog provided in the Resources section to access a directory of Comma Separated Value (CSV) files 6-Plotting time-series data of moonquakes. 7-Adding an adjustable rotation rate of the 3D digital globe. 8-imulating sunrise and sunset to produce a day/night terminator line on the 3D digital globe 9-Overlaying other data sets onto the 3D digital globe to depict features such as topography, fault lines along wrinkle ridges, or mineral composition observed from orbiting satellites",3d modeling - product design - mobile app - satalite - gis 
16,Managing Fire: Increasing Community-based Fire Management Opportunities,"1-The problem:Increasing need for diverse stakeholders to utilize satellite-derived fire data for monitoring as wildfires escalate.                                                                                                                                       Lack of innovative technology solutions and data distribution methods for community-based forest management.                                                                                                 Local communities require accessible tools to report, monitor, and respond to fires and natural resource threats.              
2-The Required solution:Develop a user-friendly smartphone app or tool for local communities to report and monitor fires, attribute fire characteristics, and identify risk areas.                                                                                                                                        Utilize technologies like machine learning, data analytics, and IoT for effective fire and resource monitoring.                                                                                                                                               Provide user-friendly data visualization and multilingual support to ensure understanding and counter climate data misinformation.","Address accessibility and training needs of rural communities through alternative data distribution methods (drones, radio stations, etc.).                                                                                                                                                                           Expand the solution to protect other resources, ensure water quality, enable forest management, and detect invasive species.                                                                                                                 Develop adaptable API code and libraries, and consider privacy protection of data collectors and alternative alert systems in the absence of email availability.",Web/Mobile App - Data Visualization
17,Mapping Data for Societal Benefit,"1-The problem: Many Informations about challenges like climate change, water insecurity, and diseases can be difficult to navigate.
2-The Required solution: Design an open data platform that enables users to explore all available data across different federal data repositories or Improve the functionality of an existing platform",#NAME?," Web Development
/ Open Science  Climate Change - Diseases - Water Insecurity"
18,Nasa in Your neighbrohood,1- The Problem : challenge is mainly Based on looking around the participant  neighborhood or town and formulate a question  about Earth system by ask question that how the environment and humans are related ? . 2- The Required Solution: how participant use satellite and human data to research about the relation between enviroment and humans ,"1-making a town unique in terms of environment or people - 2 . Coding skills and special computer programs are required to use a lot of satellite data . 3- participant may have to expand Their studies
 area to match the available information if they   find that the spatial resolution, or the smallest “area unit” of data available . 4- participants should be a ceriative  When thay consider how to communicate their outcomes  and  thinking about who might be able to use this information ",satellite 
19,ocean Gardens,"1- The Poblem: Many people do not recognize the giant role the ocean plays in our everyday lives. Limiting global warming to 1.5 degrees Celsius would require removal of approximately 100-1000 gigatons of carbon dioxide from 2000-2100 nd current efforts are exploring how those rates may be bolstered in the future.. 2-The Required Solution:create an accessible platform that visually, sonically, and interactively educates users about important ocean-provided services in a way they can easily understand  The overall goal of this challenge is to clearly convey the ocean’s importance to people who are not familiar with the way it affects daily life   ",1- Different species of phytoplankto . 2- Different areas of the ocean:. 3- Satellite images show a variety of these ‘ocean gardens,enviromental - gis 
20,open science Odyssey,"1-The Proplem: Making NASA science more accessible, inclusive, and reproducible accelerates the pace of science :2-The Required Solution is  thinking of creative new ways to determine the impact of open science Thinking about what the core values of accessibility, inclusion, and reproducibility mean throughout the scientific process and how they could be considered to communicate the impact of open science on society.",1-Think broadly when choosing the community you will highligh .2-Considering how the impact of open science can be communicated to the public. 3-A solution need not be applicable to all facets of NASA science. .4-,Data Science
21,Open Science Storytelling!, 1- The Problem: :2023 is a Year of Open Science and NASA establishing the Transform to Open Science (TOPS) mission dedicated to accelerating adoption of open science principles .2- The Required Solution :  telling an open science success story in a creative way using any form of storytelling—from singing to poetry to dance to puppetry to acrobatics and beyond. ,participants story does not have to include all aspects of open science 2- including just one aspect is fine! Open science encompasses all steps of the scientific workflow 3- looking at the NASA TOPS Open Science 101 curriculum . It consists of five individual modules that roughly align with a scientific workflow: the Ethos of Open Science,storytelling - vido editing 
22,Plan a Party to Celebrate NASA's Journey to a Metal World,"1-The problem: Explore the Psyche asteroid in the asteroid belt between Mars and Jupiter because it is rich with metal.
2-The Required solution: Create an original Psyche-themed party package ( May be game, art and crafts).The challenge involves creating a package that is accessible, sustainable, and feasible enough to be replicated by families at home as well as by museum, library, and school staff worldwide. ","- Consider potential participants’ ability levels and languages, party costs, etc.
- Can everything be accessed online, be downloaded, or be created using everyday household materials and tools? 
- Can you provide options that are “high-tech, low-tech","Arts & Game Development
2-Space Exploration"
23,Planetary Tourism Office,The problem : space travelers will need help choosing a destination and determining an itinerary .so participants can Imaginetheir are a travel agent at a future space tourism office . .   2- The Required solution creating a tool that will not only develop customized itineraries for future travelers who want to visit the main bodies in our solar system. and  educating present-day users about the many different objects in our solar system,"he scope, implementation method, and complexity of the tool you develop is at your discretion. Your tool could be elaborate or simple. ",AR/VR / web  / satalite 
24,Space Biology Digital Twins: Modeling Worms in Space!,"1-The problem: The effect of the space environment on living organisms 
2-The Required solution: Create computational models of physical systems, and use them to predict the behavior of real systems","Search NASA OSDR for C. elegans datasets under ""Worm"" filter.                                                                                                                              Identify and preprocess diverse datasets for model input.                                                              Integrate additional data, validate model, and create project roadmap with milestones.",Web/Mobile App/Machine learning
25,STAR: Revolutionizing Technical Standards with AI,"1-The problem: Failure of aerospace missions that affects millions who rely on air travel and satellite services
2-The Required solution: Developing the approach, code, or procedure for a groundbreaking tool that could address the inconsistencies and errors to create a safer and more reliable aerospace industry","Analyze and suggest improvements to NASA standard NASA-Standard-5018. Use any software for development, considering NASA judges' limitations. Utilize resources mentioned or beyond, describe process, submit source code, and ensure unaltered app output.",Data science & Artificial Intelligence
26,"titan City, 3023","1-The problem: Challenges and requirements for long-distance human space exploration and human habitation in distant destinations in the solar system. This includes addressing issues such as microgravity, hypergravity, radiation exposure, emotional effects, disrupted sleep patterns, limited supplies and medical care, communication delays, and accessibility concerns.
2-The Required solution: Developing an educational game, either digital or analog, centered around the human exploration and habitation of a planet or icy moon in the solar system, set approximately 1000 years ahead. How can your game effectively tackle the challenges and thrilling experiences that future space explorers might encounter? The game should engage a wide range of players, from kindergarteners to adults, with the primary objectives of generating excitement about human space exploration, imparting knowledge about long-term planning, and fostering curiosity in mission design and the impact of space travel on the human body.","Design a game set on any icy moon or planet, with no limitations on creativity. Choose any game type and player format. Consider risks based on lunar, Mars, and Titan exploration. For a digital game, create a web application for global accessibility. Access relevant data and resources for the challenge.",Web / Game developement / Craft Game /Biology
27,Visualize a Space Mission Using Virtual Reality,"1-The problem: The limitations of the traditional methods of using slides with images and 2D drawings or computer-generated 3D animations to present the conceptual design of a space mission.                
2-The Required solution: create an interactive, virtual reality application within a web browser that enables users to visualize a space mission including the mission concept, orbital trajectories, and mission timeline.  Embed your space mission visualization app in a web page and deploy that web page on a free web hosting service","Beginner Level:Use GMAT or design 3D elliptical orbit                                                                                                                                       Resources: Tutorial series, explore 3D graphics libraries                                                                                                                   Intermediate Level: Visualize orbital trajectories on digital globe                                                                                                                                                          Resources: NASA's Web WorldWind, search for free digital globes                                                                          Advanced Level:Create virtual orrery, design deep space missions                                                                                                                                                                                                                                                                                                                       
 Resources: Include asteroid belt, slingshot maneuvers, Web-based Space Mission Visualization System, upload trajectory data",AR/VR / web
28, What’s Up With This Water,"1-The problem:The lack of attention and awareness regarding local water ecosystems, water quality, and endangered species in bodies of water.                
2-The Required Solution::Develop a user-friendly app that :                                                                                                                                                                                                                                                                        Water Quality Check: Ensure safe swimming. 
                                                                                                                                                                                    Endangered Species Notification: Promote conservation.                                                                                                                                                 Water History Information: Understand water circulation patterns.","Location: App scope - single location or multiple locations                                                                                                                           Timeline: Frequency and prioritization of water quality observations.                                                                                   
Sunscreen Impact: Assess the ecological effects of sunscreen ingredients.                                                                                                                                                                                                                                 App Tone: Decide the balance between informative and informal content, including fun facts to engage users.",App / Data visualization / GIS
29,"Winning the Helio Big Year with Joy, Curiosity, and Science!","1-The problem: Heliophysics citizen science projects which features a variety of projects covering the Sun, the ionosphere, the magnetosphere, eclipses, ham radio, exoplanets, and projects in other disciplines, too.
2-The Required solution: Develop a creative method to identify and inform people who can significantly contribute to Heliophysics citizen scientist projects ( App or Website or Game).",#NAME?,"Arts & Game Development
2-Web Development &  Mobile Applications."
